step,time,ResidMax,ResidRMS,DilMax,IntDiv,IntAbsDiv,dt
111,1.07916667,1.38180502,0.34480578,2.58352588,-0.17886560,0.19877623,0.00972222
112,1.08888889,1.35594985,0.33941431,2.61115861,-0.17937553,0.19921523,0.00972222
113,1.09861111,1.32975386,0.33414346,2.63778927,-0.17987484,0.19964237,0.00972222
114,1.10833333,1.30330536,0.32899147,2.66341045,-0.18036373,0.20005945,0.00972222
115,1.11805556,1.27668920,0.32395651,2.68801769,-0.18084236,0.20046339,0.00972222
116,1.12777778,1.24998610,0.31903669,2.71160946,-0.18131090,0.20085911,0.00972222
117,1.13750000,1.22327213,0.31423002,2.73418701,-0.18176952,0.20124104,0.00972222
118,1.14722222,1.19661831,0.30953442,2.75575435,-0.18221839,0.20161588,0.00972222
119,1.15694444,1.17009035,0.30494774,2.77631802,-0.18265768,0.20197774,0.00972222
120,1.16666667,1.14390670,0.30046774,2.79588701,-0.18308756,0.20233420,0.00972222
121,1.17638889,1.11898357,0.29609206,2.81447257,-0.18350817,0.20268052,0.00972222
122,1.18611111,1.09442164,0.29181830,2.83208803,-0.18391970,0.20301693,0.00972222
123,1.19583333,1.07025280,0.28764396,2.84874864,-0.18432229,0.20334565,0.00972222
124,1.20555556,1.04650419,0.28356648,2.86447137,-0.18471610,0.20365783,0.00972222
125,1.21527778,1.02319848,0.27958323,2.87927476,-0.18510130,0.20396925,0.00972222
126,1.22500000,1.00035413,0.27569154,2.89317869,-0.18547804,0.20426490,0.00972222
127,1.23472222,0.97798576,0.27188870,2.90620426,-0.18584647,0.20454869,0.00972222
128,1.24444444,0.95623536,0.26817198,2.91837359,-0.18620675,0.20482756,0.00972222
129,1.25416667,0.93701293,0.26453863,2.92970969,-0.18655902,0.20509129,0.00972222
130,1.26388889,0.91811527,0.26098589,2.94023627,-0.18690344,0.20535245,0.00972222
131,1.27361111,0.89956058,0.25751104,2.94997765,-0.18724015,0.20560396,0.00972222
132,1.28333333,0.88136351,0.25411135,2.95895861,-0.18756930,0.20584718,0.00972222
133,1.29305556,0.86353543,0.25078415,2.96720427,-0.18789104,0.20608671,0.00972222
134,1.30277778,0.84608470,0.24752683,2.97474000,-0.18820551,0.20631329,0.00972222
135,1.31250000,0.82901695,0.24433681,2.98159133,-0.18851286,0.20653586,0.00972222
136,1.32222222,0.81233533,0.24121161,2.98778385,-0.18881321,0.20674929,0.00972222
137,1.33194444,0.79616335,0.23814883,2.99334314,-0.18910671,0.20695262,0.00972222
138,1.34166667,0.78147153,0.23514615,2.99829473,-0.18939351,0.20715224,0.00972222
139,1.35138889,0.76715406,0.23220134,3.00266398,-0.18967372,0.20734075,0.00972222
140,1.36111111,0.75320251,0.22931232,3.00647612,-0.18994749,0.20752407,0.00972222
141,1.37083333,0.73960761,0.22647706,3.00975612,-0.19021495,0.20770056,0.00972222
142,1.38055556,0.72635947,0.22369370,3.01252869,-0.19047623,0.20786750,0.00972222
143,1.39027778,0.71344765,0.22096046,3.01481825,-0.19073145,0.20803131,0.00972222
144,1.40000000,0.70114068,0.21827570,3.01664887,-0.19098075,0.20818664,0.00972222
145,1.40972222,0.68995214,0.21563790,3.01804426,-0.19122424,0.20833536,0.00972222
146,1.41944444,0.67903444,0.21304565,3.01902772,-0.19146205,0.20847997,0.00972222
147,1.42916667,0.66837539,0.21049767,3.01962213,-0.19169430,0.20861635,0.00972222
148,1.43888889,0.65796290,0.20799280,3.01984992,-0.19192110,0.20874882,0.00972222
149,1.44861111,0.64778498,0.20552997,3.01973306,-0.19214258,0.20887600,0.00972222
150,1.45833333,0.63792287,0.20310824,3.01929299,-0.19235885,0.20899581,0.00972222
151,1.46805556,0.62896254,0.20072677,3.01855063,-0.19257002,0.20911321,0.00972222
152,1.47777778,0.62017051,0.19838481,3.01752635,-0.19277620,0.20922457,0.00972222
153,1.48750000,0.61153562,0.19608170,3.01623997,-0.19297751,0.20933014,0.00972222
154,1.49722222,0.60304704,0.19381688,3.01471068,-0.19317404,0.20943351,0.00972222
155,1.50694444,0.59469429,0.19158986,3.01295707,-0.19336590,0.20953047,0.00972222
156,1.51666667,0.58646723,0.18940019,3.01099710,-0.19355320,0.20962512,0.00972222
157,1.52638889,0.57835615,0.18724752,3.00884805,-0.19373604,0.20971658,0.00972222
158,1.53611111,0.57035172,0.18513153,3.00652656,-0.19391451,0.20980360,0.00972222
159,1.54583333,0.56256309,0.18305194,3.00404856,-0.19408871,0.20988822,0.00972222
160,1.55555556,0.55518908,0.18100852,3.00142928,-0.19425874,0.20996974,0.00972222
161,1.56527778,0.54787192,0.17900106,2.99868326,-0.19442470,0.21004678,0.00972222
162,1.57500000,0.54060480,0.17702935,2.99582429,-0.19458666,0.21012166,0.00972222
163,1.58472222,0.53338145,0.17509320,2.99286545,-0.19474473,0.21019499,0.00972222
164,1.59444444,0.52619617,0.17319245,2.98981910,-0.19489900,0.21026623,0.00972222
165,1.60416667,0.51904382,0.17132689,2.98669683,-0.19504954,0.21034019,0.00972222
166,1.61388889,0.51191985,0.16949632,2.98350955,-0.19519644,0.21041352,0.00972222
167,1.62361111,0.50482025,0.16770053,2.98026741,-0.19533978,0.21048490,0.00972222
168,1.63333333,0.49782940,0.16593928,2.97697985,-0.19547966,0.21055739,0.00972222
169,1.64305556,0.49183014,0.16421229,2.97365561,-0.19561613,0.21062773,0.00972222
170,1.65277778,0.48582819,0.16251926,2.97030272,-0.19574930,0.21069628,0.00972222
171,1.66250000,0.47981980,0.16085985,2.96692853,-0.19587922,0.21076374,0.00972222
172,1.67222222,0.47380172,0.15923370,2.96353974,-0.19600597,0.21082947,0.00972222
173,1.68194444,0.46777123,0.15764039,2.96014237,-0.19612964,0.21089291,0.00972222
174,1.69166667,0.46172611,0.15607946,2.95674184,-0.19625028,0.21095522,0.00972222
175,1.70138889,0.45566465,0.15455043,2.95334296,-0.19636798,0.21101388,0.00972222
176,1.71111111,0.44958557,0.15305275,2.94994993,-0.19648279,0.21106791,0.00972222
177,1.72083333,0.44352969,0.15158586,2.94656642,-0.19659478,0.21111958,0.00972222
178,1.73055556,0.43755788,0.15014914,2.94319556,-0.19670403,0.21116646,0.00972222
179,1.74027778,0.43155898,0.14874195,2.93983996,-0.19681060,0.21120861,0.00972222
180,1.75000000,0.42553388,0.14736362,2.93650177,-0.19691454,0.21124757,0.00972222
181,1.75972222,0.41948384,0.14601343,2.93318267,-0.19701592,0.21128190,0.00972222
182,1.76944444,0.41341046,0.14469065,2.92988391,-0.19711480,0.21131157,0.00972222
183,1.77916667,0.40731565,0.14339453,2.92660637,-0.19721124,0.21133766,0.00972222
184,1.78888889,0.40167049,0.14212430,2.92335053,-0.19730530,0.21136016,0.00972222
185,1.79861111,0.39638437,0.14087917,2.92011654,-0.19739703,0.21137810,0.00972222
186,1.80833333,0.39104867,0.13965836,2.91690424,-0.19748648,0.21139247,0.00972222
187,1.81805556,0.38566588,0.13846106,2.91371318,-0.19757372,0.21140414,0.00972222
188,1.82777778,0.38023875,0.13728647,2.91054264,-0.19765879,0.21141161,0.00972222
189,1.83750000,0.37477031,0.13613381,2.90739168,-0.19774175,0.21141633,0.00972222
190,1.84722222,0.36926384,0.13500230,2.90425914,-0.19782264,0.21141926,0.00972222
191,1.85694444,0.36372284,0.13389115,2.90114369,-0.19790151,0.21141943,0.00972222
192,1.86666667,0.35815100,0.13279962,2.89804384,-0.19797842,0.21141837,0.00972222
193,1.87638889,0.35255220,0.13172698,2.89495796,-0.19805340,0.21141673,0.00972222
194,1.88611111,0.34693049,0.13067252,2.89188431,-0.19812651,0.21141515,0.00972222
195,1.89583333,0.34129006,0.12963555,2.88882106,-0.19819778,0.21141456,0.00972222
196,1.90555556,0.33563524,0.12861542,2.88576633,-0.19826726,0.21141582,0.00972222
197,1.91527778,0.33190374,0.12761151,2.88271818,-0.19833500,0.21142037,0.00972222
198,1.92500000,0.32924861,0.12662323,2.87967465,-0.19840103,0.21142698,0.00972222
199,1.93472222,0.32664066,0.12565001,2.87663378,-0.19846539,0.21143446,0.00972222
200,1.94444444,0.32406960,0.12469135,2.87359363,-0.19852813,0.21144156,0.00972222
201,1.95416667,0.32153690,0.12374674,2.87055228,-0.19858927,0.21144689,0.00972222
202,1.96388889,0.31908188,0.12281575,2.86750787,-0.19864887,0.21145124,0.00972222
203,1.97361111,0.31667360,0.12189795,2.86445861,-0.19870694,0.21145473,0.00972222
204,1.98333333,0.31430084,0.12099297,2.86140278,-0.19876354,0.21145728,0.00972222
205,1.99305556,0.31196387,0.12010046,2.85833876,-0.19881869,0.21145898,0.00972222
206,2.00277778,0.30966241,0.11922009,2.85526506,-0.19887243,0.21145919,0.00972222
207,2.01250000,0.30739568,0.11835160,2.85218028,-0.19892478,0.21145903,0.00972222
208,2.02222222,0.30516246,0.11749472,2.84908317,-0.19897579,0.21145788,0.00972222
209,2.03194444,0.30298544,0.11664921,2.84597264,-0.19902548,0.21145500,0.00972222
210,2.04166667,0.30085609,0.11581489,2.84284772,-0.19907389,0.21145225,0.00972222
211,2.05138889,0.29875542,0.11499157,2.83970764,-0.19912103,0.21144824,0.00972222
212,2.06111111,0.29668164,0.11417908,2.83655177,-0.19916695,0.21144303,0.00972222
213,2.07083333,0.29463265,0.11337729,2.83337966,-0.19921167,0.21143741,0.00972222
214,2.08055556,0.29260618,0.11258607,2.83019105,-0.19925521,0.21143065,0.00972222
215,2.09027778,0.29060044,0.11180529,2.82698586,-0.19929761,0.21142407,0.00972222
216,2.10000000,0.28866310,0.11103486,2.82376420,-0.19933888,0.21141832,0.00972222
217,2.10972222,0.28674319,0.11027468,2.82052635,-0.19937907,0.21141377,0.00972222
218,2.11944444,0.28483829,0.10952466,2.81727279,-0.19941818,0.21141134,0.00972222
219,2.12916667,0.28294589,0.10878470,2.81400419,-0.19945624,0.21140913,0.00972222
220,2.13888889,0.28107129,0.10805473,2.81072140,-0.19949329,0.21140704,0.00972222
221,2.14861111,0.27923073,0.10733465,2.80742546,-0.19952934,0.21140635,0.00972222
222,2.15833333,0.27744372,0.10662437,2.80411757,-0.19956441,0.21140504,0.00972222
223,2.16805556,0.27566367,0.10592381,2.80079912,-0.19959853,0.21140364,0.00972222
224,2.17777778,0.27388807,0.10523286,2.79747167,-0.19963171,0.21140183,0.00972222
